id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;Nbobs_maille;NBobs_commune
215;51108;Châlons-en-Champagne;51;44;200066876;commune;7,875381713;6,445076235;9,623103725;0,726672873;865;816
547;51109;Châlons-sur-Vesle;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;1
527;51110;Chaltrait;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;0
547;51111;Chambrecy;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;5
878;51112;Chamery;51;44;200067213;epci;9,532566779;7,221875923;12,5825797;0,702642767;1166;6
699;51113;Champaubert;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;2
878;51115;Champfleury;51;44;200067213;epci;9,532566779;7,221875923;12,5825797;0,702642767;1166;6
846;51116;Champguyon;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;4
527;51117;Champigneul-Champagne;51;44;200066876;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;18
547;51118;Champigny;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;8
878;51119;Champillon;51;44;245100615;epci;8,182833819;6,193529546;10,81108418;0,702642767;1166;3
547;51120;Champlat-et-Boujacourt;51;44;200066850;maille;7,897848596;5,995703577;10,40345168;0,719404505;501;4
699;51121;Champvoisy;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;16
404;51122;Changy;51;44;200067379;maille;6,892734505;5,576410062;8,519780367;0,685227424;778;3
846;51124;Chantemerle;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;1
473;51125;Chapelaine;51;44;200034718;epci;6,796065847;5,340846593;8,647788361;0,678560291;1341;0
652;51126;La Chapelle-Felcourt;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;2
846;51127;La Chapelle-Lasson;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;0
699;51128;La Chapelle-sous-Orbais;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;0
846;51129;Charleville;51;44;245100888;maille;6,340490469;4,867802505;8,258720306;0,657126384;878;7
473;51130;Charmont;51;44;200067379;epci;6,084530183;4,769617474;7,761944801;0,678560291;1341;1
652;51132;Les Charmontois;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;3
473;51133;Le Châtelier;51;44;200042703;maille;6,35258693;4,989552444;8,08797205;0,678560291;1341;0
404;51134;Châtelraould-Saint-Louvent;51;44;200034718;epci;6,681649896;5,407255963;8,256395784;0,685227424;778;8
473;51135;Châtillon-sur-Broué;51;44;200042992;epci;6,788085472;5,330436329;8,644340074;0,678560291;1341;0
527;51136;Châtillon-sur-Marne;51;44;200066850;epci;6,8884792;5,178949535;9,162310883;0,697167871;747;27
846;51137;Châtillon-sur-Morin;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;3
652;51138;Châtrices;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;0
652;51139;Chaudefontaine;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;14
527;51140;Chaumuzy;51;44;200067213;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;21
404;51141;La Chaussée-sur-Marne;51;44;200034718;epci;6,681649896;5,407255963;8,256395784;0,685227424;778;18
527;51142;Chavot-Courcourt;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;14
