id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;NBobs_maille;NBobs_commune
1768;40112;Gibret;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;1
1934;40113;Goos;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;3
1934;40114;Gourbera;40;75;244000675;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;2
1768;40115;Gousse;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1934;40116;Gouts;40;75;244000766;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;0
1768;40117;Grenade-sur-l'Adour;40;75;244000824;epci;8,545475749;6,794109801;10,74830374;0,692456105;1431;187
1768;40118;Habas;40;75;200069417;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;40
2391;40119;Hagetmau;40;75;200069649;commune;8,168710595;6,244790052;10,68536047;0,650862544;554;297
1934;40120;Hastingues;40;75;200069417;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;9
1768;40121;Hauriet;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
2061;40122;Haut-Mauco;40;75;200069649;maille;8,303081118;6,933382016;9,943366151;0,74333403;659;0
2276;40123;Herm;40;75;244000675;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;19
1903;40124;Herré;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;0
2387;40125;Heugas;40;75;244000675;maille;10,3006143;8,250271872;12,86050406;0,758246582;656;44
1934;40126;Hinx;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;36
1768;40127;Hontanx;40;75;244000774;epci;8,30527928;6,621208021;10,41768567;0,692456105;1431;1
1768;40128;Horsarrieu;40;75;200069649;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;2
2387;40129;Josse;40;75;244000865;maille;10,3006143;8,250271872;12,86050406;0,758246582;656;4
1887;40130;Labastide-Chalosse;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
1653;40131;Labastide-d'Armagnac;40;75;200035541;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;21
1994;40132;Labatut;40;75;200069417;maille;8,439748414;6,257090268;11,38378228;0,651305455;657;31
628;40133;Labenne;40;75;244000865;commune;11,55191364;10,23392053;13,03964677;0,866428756;949;949
1646;40134;Labouheyre;40;75;200069656;commune;9,127465012;7,556683578;11,0247593;0,807846709;922;116
1653;40135;Labrit;40;75;200069656;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;23
2391;40136;Lacajunte;40;75;200069649;maille;8,088657646;6,18876185;10,57180485;0,650862544;554;0
1768;40137;Lacquy;40;75;244000774;epci;8,30527928;6,621208021;10,41768567;0,692456105;1431;1
1887;40138;Lacrabe;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;1
1768;40139;Laglorieuse;40;75;244000808;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;1
1903;40140;Lagrange;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;2
1934;40141;Lahosse;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;2
1934;40142;Laluque;40;75;244000766;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;12
1768;40143;Lamothe;40;75;244000766;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1768;40144;Larbey;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;7
1768;40145;Larrivière-Saint-Savin;40;75;244000824;epci;8,545475749;6,794109801;10,74830374;0,692456105;1431;9
1887;40146;Latrille;40;75;200030435;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;2
1934;40147;Laurède;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;3
1887;40148;Lauret;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
1653;40149;Lencouacq;40;75;200035541;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;3
2276;40150;Léon;40;75;244000857;commune;9,723325511;8,011150119;11,80143395;0,771233595;714;133
1934;40151;Lesgor;40;75;244000766;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;4
1653;40152;Lesperon;40;75;244000691;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;32
2061;40153;Le Leuy;40;75;244000766;maille;8,303081118;6,933382016;9,943366151;0,74333403;659;0
2276;40154;Lévignacq;40;75;244000857;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;13
2276;40155;Linxe;40;75;244000857;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;36
1646;40156;Liposthey;40;75;200069656;maille;9,697254369;8,030201923;11,71038328;0,807846709;922;5
2641;40157;Lit-et-Mixe;40;75;244000857;maille;11,42492761;8,268222067;15,78682452;0,507047184;614;86
1903;40158;Losse;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;0
1934;40159;Louer;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;6
1934;40160;Lourquen;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;5
1903;40161;Lubbon;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;0
1768;40162;Lucbardez-et-Bargues;40;75;244000808;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
2276;40163;Lüe;40;75;244000873;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;0
1653;40164;Retjons;40;75;200035541;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;0
1653;40165;Luglon;40;75;200069656;maille;8,429892393;6,882486298;10,32520555;0,729656802;485;0
2391;40166;Lussagnet;40;75;244000824;maille;8,088657646;6,18876185;10,57180485;0,650862544;554;0
1903;40167;Luxey;40;75;200069656;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;19
2276;40168;Magescq;40;75;244000865;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;68
1903;40169;Maillas;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;0
1768;40170;Maillères;40;75;200069656;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1855;40171;Mano;40;75;200069656;maille;8,728945144;6,649541418;11,45860723;0,704861909;602;0
1887;40172;Mant;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
1887;40173;Marpaps;40;75;244000881;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;1
2391;40174;Mauries;40;75;200069649;maille;8,088657646;6,18876185;10,57180485;0,650862544;554;0
1768;40175;Maurrin;40;75;244000824;epci;8,545475749;6,794109801;10,74830374;0,692456105;1431;3
1903;40176;Mauvezin-d'Armagnac;40;75;200035541;maille;8,359985501;6,688012902;10,44994359;0,67372857;495;2
1768;40177;Maylis;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;4
1768;40178;Mazerolles;40;75;244000808;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;1
2276;40179;Mées;40;75;244000675;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;27
1768;40180;Meilhan;40;75;244000766;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;22
2641;40181;Messanges;40;75;244000865;maille;11,42492761;8,268222067;15,78682452;0,507047184;614;17
2276;40182;Mézos;40;75;244000543;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;3
1768;40183;Mimbaste;40;75;200069417;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;12
398;40184;Mimizan;40;75;244000543;commune;11,0370345;8,53652844;14,26998473;0,612254215;563;563
1887;40185;Miramont-Sensacq;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
1768;40186;Misson;40;75;200069417;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;8
2641;40187;Moliets-et-Maa;40;75;244000865;commune;11,84588646;8,568051694;16,37770534;0,507047184;614;108
